"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"818","02112","5315","2012",1205000,"","q"
"818","02112","5315","2013",1170000,"","q"
"818","02122","5315","2012",2335000,"","q"
"818","02122","5315","2013",2383000,"","q"
"818","02123","5315","2012",2663000,"","q"
"818","02123","5315","2013",2536000,"","q"
"818","02151","5316","2012",591987,"","q"
"818","02151","5316","2013",658079,"","q"
"818","02152","5316","2012",1497,"","q"
"818","02152","5316","2013",1688,"","q"
"818","02153","5316","2012",7835,"","q"
"818","02153","5316","2013",8619,"","q"
"818","02154","5316","2012",27455,"","q"
"818","02154","5316","2013",31185,"","q"
"818","02191","5316","2012",47335,"","q"
"818","02191","5316","2013",53213,"","q"
"826","02111","5315","2012",2681000,"","q"
"826","02111","5315","2013",2625000,"","q"
"826","02122","5315","2012",13746000,"","q"
"826","02122","5315","2013",14517000,"","q"
"826","02140","5315","2012",10299000,"","q"
"826","02140","5315","2013",10302000,"","q"
"826","02151","5316","2012",919000,"","q"
"826","02151","5316","2013",945000,"","q"
"826","02152","5316","2012",18400,"","q"
"826","02152","5316","2013",17500,"","q"
"826","02154","5316","2012",14300,"","q"
"84","02111","5315","2012",8157,"","q"
"84","02111","5315","2013",9052,"","q"
"84","02111","5315","2014",7588,"","q"
"84","02122","5315","2012",1735,"","q"
"84","02122","5315","2013",2096,"","q"
"84","02122","5315","2014",1396,"","q"
"84","02140","5315","2012",25881,"","q"
"84","02140","5315","2013",24655,"","q"
"84","02140","5315","2014",25233,"","q"
